"logFC","AveExpr","t","P.Value","adj.P.Val","B","PROBEID","SYMBOL","GENENAME"
2.15834829870383,0.53649412534263,12.9517447132174,6.58930618202155e-20,1.19184888119401e-16,34.635617505259,"AGhsA250611","IFI44L","interferon-induced protein 44-like"
2.03244482243758,0.542813595091259,13.3912045372952,1.30250395222401e-20,3.59206908133341e-17,36.1827258968804,"AGhsA190304","IFIT1","interferon-induced protein with tetratricopeptide repeats 1"
1.95415873015873,0.56,17.4036647987483,1.50279309860609e-26,4.55887314393143e-22,49.0641974883613,"AGhsA220908","HERC5","hect domain and RLD 5"
1.90539682539682,-0.288181818181818,5.56646325578778,4.94879419155181e-07,2.56626701871651e-05,6.00717602551283,"AGhsA050803","DEFA3","defensin, alpha 3, neutrophil-specific"
1.89806349206349,0.530151515151515,14.2311670316943,6.29310782222018e-22,2.38634648618589e-18,39.06447141792,"AGhsC011013","ARMC6///SFRS14","armadillo repeat containing 6///splicing factor, arginine/serine-rich 14"
1.86003174603175,0.562272727272727,14.9163627153529,5.6809964969655e-23,4.30846774329863e-19,41.3417493321577,"AGhsA060914","ISG15","ISG15 ubiquitin-like modifier"
1.82695238095238,0.741969696969697,12.7546634247573,1.37415327426278e-19,2.3159063182242e-16,33.9330864062109,"AGhsA021513","FAM14A","family with sequence similarity 14, member A"
1.66174603174603,0.339848484848485,10.0263197636554,5.78546629725674e-15,3.81538925203435e-12,23.6902327561899,"AGhsB020506","CLEC4E","C-type lectin domain family 4, member E"
1.61546031746032,0.357121212121212,15.0358273273712,3.75820416943362e-23,3.80029605613127e-19,41.7320565414057,"AGhsB200204","",""
1.59057878826502,0.502068054487297,8.5971119875815,2.02722212486320e-12,7.49973297315246e-10,18.0177554360016,"AGhsA170709","OAS2","2'-5'-oligoadenylate synthetase 2, 69/71kDa"
1.55465690885983,0.516211543268657,8.9988113760056,3.85672567967822e-13,1.53944250287787e-10,19.6258880086565,"AGhsB100404","TMEM123","transmembrane protein 123"
1.55184126984127,0.476212121212121,12.9610595710974,6.36510989352587e-20,1.19184888119401e-16,34.668689015678,"AGhsB251606","",""
1.52350806395426,0.569509197790919,9.14392257007263,2.12196657380305e-13,9.06647577223792e-11,20.2046498845903,"AGhsB130624","",""
1.47066666666667,0.483939393939394,13.0157650797277,5.19528977435361e-20,1.12574507567708e-16,34.8626728234278,"AGhsA231009","TNFAIP6","tumor necrosis factor, alpha-induced protein 6"
1.46860317460317,0.421060606060606,10.9194441190705,1.61836717054479e-16,1.81832542539432e-13,27.1425100352667,"AGhsB061503","",""
1.43584126984127,0.158636363636364,10.0746815139959,4.75752549030957e-15,3.27038663641451e-12,23.8793027482678,"AGhsA131222","FPR1","formyl peptide receptor 1"
1.43177777777778,0.497121212121212,13.6983846222321,4.2559106721882e-21,1.29107306151501e-17,37.2481062696204,"AGhsA091609","OASL","2'-5'-oligoadenylate synthetase-like"
1.41974011249928,0.347513268118457,9.89791849584286,9.7349326282671e-15,5.90637832422221e-12,23.1871656436569,"AGhsA250213","GBP1","guanylate binding protein 1, interferon-inducible, 67kDa"
1.38377777777778,0.423181818181818,8.58780615735732,2.1068395131578e-12,7.70037150254878e-10,17.9804139380788,"AGhsA221609","TNFSF10","tumor necrosis factor (ligand) superfamily, member 10"
1.36953713865964,0.199761816846248,5.74121134668358,2.48704457715271e-07,1.50592783018971e-05,6.6702055484475,"AGhsA050524","FCGR3B","Fc fragment of IgG, low affinity IIIb, receptor (CD16b)"
1.34126984126984,0.311212121212121,14.7054435140346,1.18347745356843e-22,7.1803944062904e-19,40.6477717067161,"AGhsA190305","IFIT3","interferon-induced protein with tetratricopeptide repeats 3"
1.29349206349206,0.350454545454545,10.1910575199812,2.97384480286355e-15,2.14796561761116e-12,24.3333324128752,"AGhsA240908","IFI16","interferon, gamma-inducible protein 16"
1.28203174603175,0.47969696969697,7.13272662437889,8.77546690858638e-10,1.50402578609535e-07,12.1320209506231,"AGhsA170501","TNFSF13B","tumor necrosis factor (ligand) superfamily, member 13b"
1.27825396825397,0.138939393939394,8.30939644672496,6.67870449401335e-12,2.02948001749131e-09,16.8618945303563,"AGhsA181503","SRGN","serglycin"
1.26873015873016,0.495909090909091,10.5796556743951,6.25102359825411e-16,5.41803005361819e-13,25.8392931138712,"AGhsA111124","IFIH1","interferon induced with helicase C domain 1"
1.25250703963412,0.388875070379334,6.81243592511757,3.2811063300108e-09,4.47673310193488e-07,10.8542565684839,"AGhsA080106","LY96","lymphocyte antigen 96"
1.23475968595922,0.289070776889274,9.97093091781702,7.24019467577609e-15,4.48241929968048e-12,23.4734140925294,"AGhsB180210","SAT1","spermidine/spermine N1-acetyltransferase 1"
1.23095238095238,0.388333333333333,9.40773065584775,7.18524165434335e-14,3.35340755117169e-11,21.2532310457919,"AGhsB140721","",""
1.22907936507936,0.431515151515152,11.2907248746144,3.74950352656937e-17,5.17022449918221e-14,28.5510301685481,"AGhsA121124","APOBEC3B","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B"
1.20952380952381,0.111515151515151,11.0343442121437,1.02760965513389e-16,1.19898332685161e-13,27.5801722833363,"AGhsB100715","IFITM1","interferon induced transmembrane protein 1 (9-27)"
1.14368253968254,0.192121212121212,7.96663128593904,2.76995674605932e-11,7.85321568677153e-09,15.4825441262822,"AGhsA091310","ITM2B","integral membrane protein 2B"
1.14365079365079,0.185,9.68496932551325,2.31452958588001e-14,1.25381374137957e-11,22.3495203706482,"AGhsB240821","",""
1.14307936507937,0.0468181818181818,12.1666481367072,1.26741912842507e-18,1.92242133399514e-15,31.8054129714969,"AGhsB181310","",""
1.12685714285714,0.374545454545455,10.9020245349759,1.73394487077155e-16,1.87860541427592e-13,27.0760219120055,"AGhsA090107","MX2","myxovirus (influenza virus) resistance 2 (mouse)"
1.12561904761905,0.300151515151515,11.2647113665256,4.15197750120451e-17,5.47627780332782e-14,28.4528880706159,"AGhsA150622","GABARAP","GABA(A) receptor-associated protein"
1.12355555555556,0.187272727272727,7.6397705261279,1.07556070169301e-10,2.69654623525283e-08,14.1670378898592,"AGhsA061521","SELL","selectin L (lymphocyte adhesion molecule 1)"
1.11549206349206,0.218484848484848,10.3934834365341,1.31726899239771e-15,1.05159663561518e-12,25.1198009089071,"AGhsB150402","",""
1.11361904761905,0.485,10.6520265476209,4.68293074101691e-16,4.43941834248403e-13,26.1179581194519,"AGhsA140122","CEACAM4","carcinoembryonic antigen-related cell adhesion molecule 4"
1.08484223340499,0.385177074265224,7.00307081696751,1.49798175010416e-09,2.35454789487875e-07,11.6138215244804,"AGhsB131224","NMI","N-myc (and STAT) interactor"
1.0788253968254,0.0101515151515151,12.9481071836413,6.67900546555185e-20,1.19184888119401e-16,34.6226995401476,"AGhsB141508","",""
1.07733333333333,0.235454545454545,10.3343262008768,1.67050804733649e-15,1.26691330309999e-12,24.8904021127573,"AGhsA041605","CLIC1","chloride intracellular channel 1"
1.07292063492064,0.318939393939394,11.3230205620685,3.30403785856855e-17,4.77291868940645e-14,28.6727570263404,"AGhsB221223","CHRNA9","cholinergic receptor, nicotinic, alpha 9"
1.07209523809524,0.320454545454545,14.1725231798527,7.75291635312738e-22,2.61324967209414e-18,38.8664996670939,"AGhsA030508","LRRC37A","leucine rich repeat containing 37A"
1.06965079365079,0.238787878787879,5.18144103422845,2.19867930139314e-06,8.44135677814283e-05,4.57316958712627,"AGhsB160423","",""
1.05939682539683,0.581969696969697,5.36730591858858,1.07517364910541e-06,4.79653938518555e-05,5.26048579551011,"AGhsA091012","LITAF","lipopolysaccharide-induced TNF factor"
1.05614031326281,0.435822422906854,7.1512860291547,8.12812062300183e-10,1.40099242738286e-07,12.2062895780138,"AGhsA221324","USP4","ubiquitin specific peptidase 4 (proto-oncogene)"
1.05319215856759,0.153551040352314,6.68830342021332,5.45796684195651e-09,6.70335555131954e-07,10.3614437411756,"AGhsB211202","FYB","FYN binding protein (FYB-120/130)"
1.02479274314827,0.322706246554751,9.12232188404214,2.31915890351706e-13,9.77138951348522e-11,20.1185811350255,"AGhsB040211","PLSCR2","phospholipid scramblase 2"
1.00225396825397,0.0271212121212121,5.39747167954083,9.56528952725048e-07,4.35694629277283e-05,5.37293146484791,"AGhsB151016","",""
1.00044444444444,0.334545454545455,8.40779369478217,4.44118501340214e-12,1.40341446423508e-09,17.2574748623379,"AGhsC161524","",""
1.00006349206349,0.549090909090909,9.29666562527977,1.13292417067118e-13,4.90976966306868e-11,20.8123707641617,"AGhsB101311","HMGCS1","3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)"
